id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rates,issue_date,loan_status,term_months,sub_grade,verification_status,addr_state
id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rates,issue_date,loan_status,term_months,sub_grade,verification_status,addr_state
62115296.0,35000.0,31792.251105712563,35000.0,1.100897192955017,0.2899,1154.66,1048.8354474777734,3419.14,3.2599394006202838,1.100897192955017,10.0,1.0,36.0,10.0,1.0,2.0
62115715.0,35000.0,31792.251105712563,35000.0,1.100897192955017,0.2899,1174.07,1066.46652159097,3497.53,3.279549736622145,1.100897192955017,10.0,1.0,60.0,12.0,1.0,2.0
62115844.0,24000.0,21800.4007582029,24000.0,1.100897192955017,0.1465,566.56,514.6347938986431,1660.61,3.2267736649128618,1.100897192955017,10.0,1.0,60.0,15.0,0.0,4.0
62116084.0,26525.0,24093.984587972165,1000.0,0.04150413545542006,0.2899,576.59,13892.350573578871,1713.58,0.12334701682946062,1.100897192955017,10.0,1.0,60.0,9.0,1.0,3.0
62116252.0,35000.0,31792.251105712563,8000.0,0.2516336441040039,0.2899,247.97,985.440563335443,735.84,0.7467117017279923,1.100897192955017,10.0,1.0,36.0,4.0,1.0,2.0
62117025.0,30000.0,27250.500947753626,30000.0,1.100897192955017,0.1655,1062.88,965.4670815782792,68616520.0,71070.80221505888,1.100897192955017,10.0,1.0,36.0,17.0,1.0,2.0
62126534.0,20000.0,18167.000631835752,20000.0,1.100897192955017,0.2899,1372.97,1247.1373428745765,1973.87,1.582720629189363,1.100897192955017,10.0,1.0,36.0,11.0,0.0,2.0
62126659.0,35000.0,31792.251105712563,3600.0,0.11323513984680177,0.2899,120.77,1066.5417127880294,357.23,0.3349423615754989,1.100897192955017,10.0,1.0,36.0,12.0,1.0,4.0
62126979.0,12000.0,10900.20037910145,1000.0,0.09174143274625142,0.2899,268.7,2928.8838418645596,729.0,0.24890027715674468,1.100897192955017,10.0,1.0,60.0,11.0,0.0,4.0
62127542.0,7200.0,6540.12022746087,7200.0,1.100897192955017,0.2899,1372.97,1247.1373428745765,661.97,0.5307915794375935,1.100897192955017,10.0,1.0,36.0,5.0,1.0,2.0
62135191.0,35000.0,31792.251105712563,34000.0,1.0694429874420166,0.2899,761.31,711.8752555673539,1499.41,2.106281947958695,1.100897192955017,10.0,1.0,60.0,11.0,1.0,3.0
62136149.0,6000.0,5450.100189550725,6000.0,1.100897192955017,0.1465,206.97,188.00120603855225,611.14,3.250723827136924,1.100897192955017,10.0,1.0,36.0,15.0,1.0,1.0
62136215.0,28000.0,25433.80088457005,28000.0,1.100897192955017,0.1561,675.12,613.2452733282477,1325.96,2.162201744831488,1.100897192955017,10.0,1.0,60.0,16.0,0.0,3.0
62136757.0,2000.0,1816.7000631835751,2000.0,1.100897192955017,0.1699,71.3,64.76535725249445,210.12,3.2443270432497644,1.100897192955017,10.0,1.0,36.0,18.0,0.0,2.0
62136956.0,30000.0,27250.500947753626,30000.0,1.100897192955017,0.2899,956.37,868.7187197134378,68616520.0,78985.88857695431,1.100897192955017,10.0,1.0,36.0,7.0,1.0,4.0
62146117.0,12000.0,10900.20037910145,12000.0,1.100897192955017,0.2899,271.14,246.29002756579726,533.82,2.167444639460232,1.100897192955017,10.0,1.0,60.0,12.0,1.0,0.0
62146665.0,12000.0,10900.20037910145,12000.0,1.100897192955017,0.1655,425.16,386.19409943156444,839.29,2.173233618108985,1.100897192955017,10.0,1.0,36.0,20.0,1.0,3.0
62146802.0,16000.0,14470.645329524743,16000.0,1.1056866943836212,0.2899,523.75,473.6875307086615,1551.71,3.2758092611780603,1.1056866943836212,0.0,1.0,36.0,9.0,1.0,3.0
62146838.0,19575.0,17780.95186840924,19575.0,1.100897192955017,0.1999,518.51,470.9885748806577,1069.62,2.2710105022633034,1.100897192955017,10.0,1.0,60.0,24.0,1.0,1.0
